Confidence,Time
0.9174344539642334,2024-04-15 16:19:45
0.9150356650352478,2024-04-15 16:19:46
0.9213889241218567,2024-04-15 16:19:47
0.9230988621711731,2024-04-15 16:19:49
0.9252759218215942,2024-04-15 16:19:52
0.9229048490524292,2024-04-15 16:19:55
0.9335999488830566,2024-04-15 16:20:03
0.9361980557441711,2024-04-15 16:20:05
0.9434666037559509,2024-04-15 16:20:06
0.9297758340835571,2024-04-15 16:20:07
0.9384936094284058,2024-04-15 16:20:09
0.9134597182273865,2024-04-15 16:20:33
0.9142864942550659,2024-04-15 16:20:36
